"code_station","lat_deg_dec","long_deg_dec","code_sqc_ass_ext","code_sqc_ass_ext_alignement","statut_sqc_ass","date_creation_sqc_ass_ext","taxname_sqc","date_identification_sqc_ass","gene"
"BAIAMARE","47.969567","23.69605","Aaquaticus|BAIAMARE_000000_0_KJ676742|NCBI","Aaquaticus|BAIAMARE_000000_0_KJ676742|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"BAIAMARE","47.969567","23.69605","Aaquaticus|BAIAMARE_000000_0_KJ676743|NCBI","Aaquaticus|BAIAMARE_000000_0_KJ676743|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"BAIAMARE","47.969567","23.69605","Aaquaticus|BAIAMARE_000000_0_KJ676744|NCBI","Aaquaticus|BAIAMARE_000000_0_KJ676744|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"BAKOVCI","46.606","16.166","Aaquaticus|BAKOVCI_000000_0_AY531776|NCBI","Aaquaticus|BAKOVCI_000000_0_AY531776|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"BAKOVCI","46.606","16.166","Aaquaticus|BAKOVCI_000000_0_AY531777|NCBI","Aaquaticus|BAKOVCI_000000_0_AY531777|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"BAKOVCI","46.606","16.166","Aaquaticus|BAKOVCI_000000_0_AY531778|NCBI","Aaquaticus|BAKOVCI_000000_0_AY531778|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"BAKOVCI","46.606","16.166","Aaquaticus|BAKOVCI_000000_0_AY531779|NCBI","Aaquaticus|BAKOVCI_000000_0_AY531779|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"BARABOI","46.29506","30.50324","Aaquaticus|BARABOI_000000_0_KR921859|NCBI","Aaquaticus|BARABOI_000000_0_KR921859|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"BARJELJU","46.003","14.507","Aaquaticus|BARJELJU_000000_0_AY531810|NCBI","Aaquaticus|BARJELJU_000000_0_AY531810|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"BASKE","44.52667","15.18139","Aaquaticus|BASKE_000000_0_DQ144745|NCBI","Aaquaticus|BASKE_000000_0_DQ144745|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","28S"
