"liste_gene_cible_par_individu","code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","code_ind_tri_morpho","code_ind_biomol","taxname_sqc_ass"
"COI;OPS2;28S;16S;AM4;OPS1","EVORA","38.60359","-7.87318","PROASELLUS_RECTUS|EVORA_201010","PROASELLUS_RECTUS","PROASELLUS_RECTUS|EVORA_201010[1]PRuE1","Prectus|EVORA_201010_1ID","PROASELLUS_RECTUS"
"AM4;COI;16S;28S","EYGUAM1","44.366081","5.464505","PROASELLUS_N_SP_VERCLAUSE2|EYGUAM1_201007","PROASELLUS_N_SP_VERCLAUSE2","PROASELLUS_N_SP_VERCLAUSE2|EYGUAM1_201007[2]PspE3","PnspVerclause2|EYGUAM1_201007_3","PROASELLUS_SYNASELLOIDES"
"COI;28S;28S;COI;16S;16S;AM4;AM4","FALGIERE","44.12804","3.89156","PROASELLUS_WALTERI|FALGIERE_201407","PROASELLUS_WALTERI","PROASELLUS_WALTERI|FALGIERE_201407[B1]F5","Pwalteri|FALGIERE_201407_F5","PROASELLUS_BOUI"
"COI;28S;AM4;16S","FAVARA","37.825218","13.810561","PROASELLUS_COXALIS|FAVARA_201203","PROASELLUS_COXALIS","PROASELLUS_COXALIS|FAVARA_201203[A1]PCoFv1","Pcoxalis|FAVARA_201203_1ID","PROASELLUS_COXALIS"
"28S;16S;COI;AM4","FAVARA","37.825218","13.810561","PROASELLUS_COXALIS|FAVARA_201203","PROASELLUS_COXALIS","PROASELLUS_COXALIS|FAVARA_201203[A2]PCoFv2","Pcoxalis|FAVARA_201203_2","PROASELLUS_COXALIS"
"28S;AM4;COI;16S","FGARIGLI","41.393451","13.876306","PROASELLUS_COXALIS|FGARIGLI_201203","PROASELLUS_COXALIS","PROASELLUS_COXALIS|FGARIGLI_201203[B1]PCoFg1","Pcoxalis|FGARIGLI_201203_1","PROASELLUS_COXALIS"
"COI;AM4;28S;16S","FIORARIV","42.656962","11.61909","PROASELLUS_SP|FIORARIV_201411","PROASELLUS_SP","PROASELLUS_SP|FIORARIV_201411[B2]PspFi2","Psp|FIORARIV_201411_2","PROASELLUS_ACUTIANUS"
"COI;AM4;16S;28S;AM4","FIORARIV","42.656962","11.61909","PROASELLUS_SP|FIORARIV_201411","PROASELLUS_SP","PROASELLUS_SP|FIORARIV_201411[B1]PspFi1","Psp|FIORARIV_201411_1","PROASELLUS_ACUTIANUS"
"COI;16S;16S;AM4;28S;28S","FIUMALTO","42.44472","9.473056","STENASELLUS_RACOVITZAI|FIUMALTO_200810","STENASELLUS_RACOVITZAI","STENASELLUS_RACOVITZAI|FIUMALTO_200810[M1]SRA1","Sracovitzai|FIUMALTO_200810_1","STENASELLUS_RACOVITZAI"
"28S;AM4;COI;16S","FIUSARNO","40.810181","14.606049","PROASELLUS_BANYULENSIS_POLYCHAETUS|FIUSARNO_201503","PROASELLUS_BANYULENSIS_POLYCHAETUS","PROASELLUS_BANYULENSIS_POLYCHAETUS|FIUSARNO_201503[B1]PCoFi2","Pbanyulensis_polychaetus|FIUSARNOI_201503_2","PROASELLUS_BANYULENSIS_POLYCHAETUS"
"COI;AM4;28S;16S","FIUSARNO","40.810181","14.606049","PROASELLUS_BANYULENSIS_POLYCHAETUS|FIUSARNO_201503","PROASELLUS_BANYULENSIS_POLYCHAETUS","PROASELLUS_BANYULENSIS_POLYCHAETUS|FIUSARNO_201503[A1]PCoFi1","Pbanyulensis_polychaetus|FIUSARNOI_201503_1ID","PROASELLUS_BANYULENSIS_POLYCHAETUS"
